id,calories,proteins,fat,carbohydrate,name,image
33,75,13.8,1.9,0.7,Ayam dideh/darah segar,https://pelopor.id/wp-content/uploads/2022/03/WhatsApp-Image-2022-02-05-at-11.46.55.jpeg
34,295,34,16,1.5,Ayam goreng church texa sayap,https://e7.pngegg.com/pngimages/66/902/png-clipart-church-s-chicken-bakery-chicken-nugget-fried-chicken-texas-chicken-church-s-chicken-bakery-thumbnail.png
35,338,35.2,20.6,0.4,Ayam goreng church texas dada,https://i0.wp.com/harga.web.id/wp-content/uploads/Harga-Texas-Chicken-Reguler-dan-Promo.jpg?fit=680%2C300&ssl=1
36,275,37.4,12.2,1.3,Ayam goreng kalasan paha,https://thumb.viva.id/intipseleb/1265x711/2022/10/21/6352aa183c0c1-resep-ayam-goreng-kalasan.jpg
37,298,34.2,16.8,0.1,Ayam goreng kentucky dada,https://awsimages.detik.net.id/community/media/visual/2021/07/07/kirim-pesan-unik-kfc-2_43.jpeg?w=1200
38,286,32.1,16.1,1.1,Ayam goreng Kentucky paha,https://img-global.cpcdn.com/recipes/d61db7c7021bcd27/680x482cq70/paha-kentucky-yummy-foto-resep-utama.jpg
39,295,39.2,13.6,1,Ayam goreng mbok berek dada,https://img-global.cpcdn.com/recipes/d15c8abab4246c58/680x482cq70/ayam-goreng-mbok-berek-foto-resep-utama.jpg
40,287,31,15.7,1.7,Ayam goreng paha,https://cdn1-production-images-kly.akamaized.net/EwEm3hoNsTm-YZSonSqX2IlcAaY=/1200x1200/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/2938630/original/066858200_1571039590-shutterstock_153914045.jpg
41,246,37.9,9,0.7,Ayam goreng pasundan dada,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/6-C2DTTVLGUBJ3T6-C2DTTXDVTNJXLA/detail/menueditor_item_b01be5494e6b4600867dbcbc0dcd1ed2_1607529952400513906.webp
42,245,33.1,11.4,0.3,Ayam goreng pasundan paha,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/IDITE2021041504584013744/detail/menueditor_item_de1f8bfb500e483d903ccb2e25a29a7d_1618462649639007677.webp
43,295,37.4,14.7,0.6,Ayam goreng pioneer dada,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/IDITE20210726121341017693/detail/menueditor_item_428cb0ea19e44146a00e1cfbef85faae_1627524568218570621.webp
44,244,36.7,9.2,1,Ayam goreng sukabumi dada,https://i0.wp.com/i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/d5baa5ea-bad6-4cc6-b6fe-a0c4a9a86979_Go-Biz_20211222_160332.jpeg
45,283,35.7,14.3,0.5,Ayam goreng sukabumi paha,https://i0.wp.com/i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/60ef5b81-53d7-4375-a9a3-b7eb2aed3b2a_master-menu-item-image_1597233742745.jpg?resize=728%2C500
46,261,27.4,16.1,1.6,Ayam hati segar,https://asset.kompas.com/crops/9dZTmg32w0stodtsJ52gf85QjD4=/0x0:902x601/750x500/data/photo/2021/01/26/600f9d1967e9b.jpg
47,264,18.2,20.1,2.7,Ayam taliwang masakan,https://asset.kompas.com/crops/-oAqlkfrKHaqebhytdtKz-JV6ls=/4x0:1000x664/750x500/data/photo/2020/12/22/5fe16c7655542.jpg
48,473,45.2,26.3,13.9,Ayam usus goreng,https://img-global.cpcdn.com/recipes/fa7c9443ce9efcb5/1200x630cq70/photo.jpg
49,113,17.6,4.2,0,Babat,https://awsimages.detik.net.id/community/media/visual/2022/05/26/resep-bacem-babat-sapi.jpeg?w=1200
50,453,11.9,45,0,Babi daging gemuk segar,https://akcdn.detik.net.id/visual/2020/05/12/d2fe874b-b04f-41ad-bce5-84027ad803ab_169.jpeg?w=650
51,371,14.1,35,0,Babi daging kurus segar,https://dialeksis.com/images/web/2022/10/daging-babi.jpeg
52,110,16.3,4.6,0.8,Babi ginjal segar,https://s1.bukalapak.com/img/6117974221/large/GINJAL_BABI___PORK_KIDNEY_.jpg
53,129,19.7,4.8,1.7,Babi hati segar,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//91/MTA-7170363/pasarbali-id_pasarbali-id_-_hati_babi_-500_gr-denpasar-_full02_fa2ryh3x.jpg
54,491,24.6,16.3,0.2,Babi hutan masak rica masakan,https://img-global.cpcdn.com/recipes/3bb79acbfc908ed8/1200x630cq70/photo.jpg
55,102.9,3.3,2.7,16.3,Bacang,https://cdn1-production-images-kly.akamaized.net/dmeIqjoEQPYVHvwOwc32D8B7EcI=/1200x675/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/1495067/original/082497700_1486023784-bacang-fsui_wodpress.jpg
56,450,3.2,13.9,78.1,Bagea kelapa asin,https://resepkoki.id/wp-content/uploads/2018/02/Resep-Kue-Bagea.jpg
57,452,1.3,13.8,80.6,Bagea kelapa manis,https://s3.theasianparent.com/tap-assets-prod/wp-content/uploads/sites/24/2022/03/kue-bagea-featured-650x339.jpg
58,529,3.2,29.1,63.6,Bagea kenari asin,https://images.tokopedia.net/img/cache/700/hDjmkQ/2021/10/4/73219f10-0149-4af7-b1ca-c51d90ca767b.jpg
59,523,3.2,28.2,64.2,Bagea kenari manis,https://indonesiakaya.com/wp-content/uploads/2020/10/1__IMG_0796_CROP_Renyah_gurih_dan_manis_begitulah_kira-kira_gambaran_saat_mencicipi_kue_bagea_khas_Sulawesi_Utara.jpg
60,416,6.5,9.4,76.3,Bagea kw 1,https://i0.wp.com/www.cakefever.com/wp-content/uploads/rsz_unknown_187780537_492967188795850_1371196946421020494_n.jpg?fit=900%2C600&ssl=1
61,382,0.3,3.5,87.2,Bagea kw 2,https://images.tokopedia.net/img/cache/700/VqbcmM/2021/8/15/c5337e96-32c2-4453-98d0-cc17b08837f1.jpg
62,129,1.9,6.6,15.6,Baje,https://cf.shopee.co.id/file/91afb76cc87856ee341c0ee5970d66a9
63,272,8.7,6.7,44.1,Bakpia kue,https://asset.kompas.com/crops/BZ6Z25Y0XcjtoHBInh10nGsMM2Q=/3x0:700x465/750x500/data/photo/2021/03/17/60514d8851d3e.jpeg
"64,76,4.1,2.5,9.2,""Bakso "",https://asset.kompas.com/crops/x6OULHa8pMi47UnvDTzf1j62ov4=/3x0:700x465/750x500/data/photo/2022/08/25/6306b48bb80a1.jpeg"
65,27,2,0.2,4.2,Bakung segar,https://assets.kompasiana.com/statics/files/14145651141145946500.jpg?t=o&v=700?t=o&v=110
66,280,8.2,10.2,39,Bakwan,https://i0.wp.com/resepkoki.id/wp-content/uploads/2019/04/Resep-Bakwan-Jagung-1.jpg?fit=1749%2C1920&ssl=1
67,13,0.4,0.2,3,Baligo,https://rimbakita.com/wp-content/uploads/2020/08/kundur.jpg
68,190,3.3,0.3,43.5,Bantal,https://cdn.idntimes.com/content-images/community/2020/11/kue-bantal-sumber-ig-at-terunededarementaram-e3a62b69fc2f582e3148201ce8d68802_600x400.jpg
69,159,3.1,5.8,23.5,Barongko,https://upload.wikimedia.org/wikipedia/commons/5/5e/Barongko_hendak_dimakan.jpg
70,137,4.3,4.8,19.1,Batang Tading,https://i0.wp.com/bukanarjuna.com/wp-content/uploads/2019/11/batang-teratai.jpg?resize=680%2C453&ssl=1
71,107,2.2,2.2,19.6,Batar daan,https://foreignfork.com/wp-content/uploads/2020/11/Batar-daan-7-scaled.jpg
72,76,1.1,0.9,16,Batatas gembili segar,https://cf.shopee.co.id/file/b49af4eb7afe41c41e9246a0005b843f
73,110,1.4,1.1,23.4,Batatas kelapa ubi bakar,https://img-global.cpcdn.com/recipes/95d754afdf8eb1f2/1200x630cq70/photo.jpg
74,92,1.2,0.3,21,Batatas kelapa ubi kukus,https://img-global.cpcdn.com/recipes/9f91679fd1ba49f0/680x482cq70/singkong-kukus-toping-kelapa-parut-foto-resep-utama.jpg
75,89,1.1,0.1,21,Batatas kelapa ubi segar,https://th.bing.com/th?id=ABTE8B1595CD1C0C5A990C01CE78BE64402674F61A3C217A9FF9CCB31D6F7E9E29A&w=1144&h=568&c=1
76,182,2.4,0.4,42.2,Batatas tali ubi rebus,https://img-global.cpcdn.com/recipes/f9664da25cda52e4/1200x630cq70/photo.jpg
77,45,1.4,0.2,10.3,Bawang Bombay,https://res.cloudinary.com/dk0z4ums3/image/upload/v1621837004/attached_image/berbagai-nutrisi-di-balik-manfaat-bombay.jpg
78,39,1.5,0.3,0.2,Bawang Merah,https://cdn.shopify.com/s/files/1/0369/8321/0116/products/015_640x.jpg?v=1646380408
79,95,4.5,0.2,23.1,Bawang Putih,https://www.astronauts.id/blog/wp-content/uploads/2022/11/Manfaat-Bawang-Putih-Untuk-Kulit-yang-Tidak-Banyak-Tahu.jpg
80,30,1.3,0.7,5.8,Bayam kukus,https://img-global.cpcdn.com/recipes/ff942e133f5dc64e/680x482cq70/bayam-kukus-foto-resep-utama.jpg
81,51,4.6,0.5,10,Bayam Merah,https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2021/10/15060945/manfaat-bayam-merah-yang-jarang-diketahui-halodoc.jpg
82,41,2.2,0.8,6.3,Bayam merah segar,https://images.tokopedia.net/img/cache/700/VqbcmM/2020/10/28/6efbc93d-e05c-4446-8c6c-c6d401dc7407.jpg
83,23,1.2,0.6,3.7,Bayam rebus,https://img-global.cpcdn.com/recipes/5be8dc1e0002f811/1200x630cq70/photo.jpg
84,36,3.5,0.5,6.5,Bayam segar,https://mitalom.com/wp-content/uploads/2015/10/Gambar-Daun-Bayam.jpg
"85,102,3.7,6.7,6.9,Bayam tumis + oncom,""https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,q_auto:best,w_640/v1601173915/chhxzj6dnkwkryigiyrl.jpg"""
86,48,1.4,4.2,2.6,Bayam tumis bersantan,https://img.kurio.network/FnRZ04iY18q6h7oJzzZDFZOD5Zk=/1200x1200/filters:quality(80)/https://kurio-img.kurioapps.com/21/04/07/2ab69e8a-370d-460a-89ac-0efadafee196.jpe
87,326,16,28.6,0,Bebek (itik),https://asset.kompas.com/crops/6unVsacqX8mpZ19lviQLxyDPCoI=/0x0:1000x667/750x500/data/photo/2020/11/03/5fa0cee5cb3cf.jpg
88,303,11.3,27,3.7,Bebek alabio daging segar,https://medioenblog.files.wordpress.com/2018/02/bebek.jpg
89,300,24,20.7,4.5,Bebek daging goreng,https://asset.kompas.com/crops/y8jlET9Zwl-5iykdc5t58sS-_KY=/0x52:1000x719/750x500/data/photo/2020/07/14/5f0d253a6edd5.jpg
90,65,1.1,5.2,3.5,Beberuk,https://s.kaskus.id/images/2019/11/21/10218416_20191121013811.jpg
91,258,10.6,9.5,32.5,Beef burger,https://cdn.id9.site/burgerax/media/2020/09/beef-burger-e1644156606108.jpeg
92,151,8.6,3.1,22.3,Beef teriyaki masakan,https://www.masakapahariini.com/wp-content/uploads/2020/12/resep-beef-teriyaki-2-500x300.jpg
93,132,9.8,1.1,20.7,Beef yakiniku masakan,https://asset.kompas.com/crops/awoHyKStB8lI_yqs1PTI3VjIHsE=/78x42:958x629/750x500/data/photo/2022/12/08/6391613d09412.jpg
94,116,11.9,4.9,6.1,Bekasam,https://assets-a1.kompasiana.com/items/album/2021/11/13/bekasam-kuliner-fermentasi-khas-wong-sumsel-shd-1-removebg-preview-618f54d2c26b771c5c083212.png
95,78,11.4,2,3.6,Bekasang,https://www.surabayapagi.com/po-content/photo/big/a782bead716a8dbee3762c8c79ec4e54.jpg
96,131,20.2,4.3,2.8,Belibis daging segar,https://assets.tokko.io/2bbdc42e-f0c6-494e-ae09-9d177af2ec61/products/images/cc352d35-2818-45ed-9a63-03f4fbd2247b
97,36,0.4,0.4,8.8,Belimbing,https://cdn0-production-images-kly.akamaized.net/vVBJG9Flt0ncPec4-hGyZftu4og=/1200x900/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/2778801/original/086460500_1556885614-belimbing.jpg
98,145,1.2,0.4,34.2,Belitung talas kukus,https://asset-a.grid.id/crop/0x0:0x0/700x0/photo/2020/06/29/1496174786.jpg
99,417,25.9,19.4,32,Belut goreng,https://asset.kompas.com/crops/EIwKgK9ZA21scjpbrA9zMJehUIU=/100x67:900x600/750x500/data/photo/2021/03/23/6059483f259e2.jpeg
100,70,14.6,0.8,1,Belut segar,https://cdn0-production-images-kly.akamaized.net/dzEIf_Zb-p6ktRAywNdWHoTH5Wg=/1200x900/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/2760114/original/080217400_1553484954-Cara_budidaya_belut.jpg
101,93,12.8,1.5,6.1,Belutlaut segar,https://mfcepusluh.bpsdmkp.kkp.go.id/asset/foto_berita/SIDAT_OK_-1.jpg
102,55,1.4,0.2,12.8,Bengkuang,https://jovee.id/wp-content/uploads/2020/11/shutterstock_1830526784.jpg
103,98,1.6,0.7,20.9,Bentul (Komba)  talas segar,https://sampangkabmuseumjatim.files.wordpress.com/2014/08/talas.jpg
104,71,2.3,0.3,15.4,Bentul talas kukus,https://i.ytimg.com/vi/zJ9Rg_MIGfY/maxresdefault.jpg
105,350,2.7,1.1,82.3,Beras Cerdas,https://1.bp.blogspot.com/-bI9SR2CfOMQ/VIuCEHs40eI/AAAAAAAAAK8/iE3VYEXXno8/s1600/1460018_556060297809682_917149226_n.jpg
106,364,3.4,0.7,86.3,Beras ganyong,https://www.agrofarm.co.id/wp-content/uploads/2022/04/Ganyong-e1651331774497.jpg
107,360,6.8,0.7,78.9,Beras Giling,https://images.pexels.com/photos/4187621/pexels-photo-4187621.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
"108,178,2.1,0.1,40.6,""Beras Giling masak (nasi) "",https://e0.pxfuel.com/wallpapers/769/103/desktop-wallpaper-white-rice-rice-bowl.jpg"
109,357,8.4,1.7,77.1,Beras giling mentah,https://id-test-11.slatic.net/p/f39461bcbf996f071c0e206b97d62889.jpg
110,369,9.5,1.4,77.1,Beras giling var pelita mentah,https://rottebakery.com/wp-content/uploads/2022/06/white-rice-flour-small-bowl-with-rice-plant.jpg
111,357,8.4,1.7,77.1,Beras giling var rojolele mentah,https://s0.bukalapak.com/img/06431812631/large/BERAS_ROJOLELE_25KG.png
112,351,8,1.3,76.9,Beras hitam mentah,https://statik.tempo.co/data/2022/01/25/id_1083329/1083329_720.jpg
113,358,5.5,0.1,82.7,Beras jagung kuning kering mentah,https://thumbs.vdvc.id/olret/images/original/2022/07/21/62d900a97984b-manfaat-tepung-jagung_olret.jpg
114,307,4.8,0.1,71.8,Beras jagung putih kering mentah,https://awsimages.detik.net.id/community/media/visual/2016/05/06/8a8ccd2e-6879-4e3a-9082-e632e117354c.jpg?w=852
115,356,7,0.7,78,Beras Ketan Hitam,https://img.herstory.co.id/articles/archive_20211203/beras-hitam-20211203-092358.jpg
116,181,4,1.2,37.3,Beras Ketan Hitam kukus,https://img.freepik.com/free-photo/purple-rice-berries-cooked-wooden-dish-with-mint-leaves_1150-19858.jpg?w=1060&t=st=1683884169~exp=1683884769~hmac=cbae358960d57fe16933cd26ccb63b1353dd59576d26b5334b0f7a9f732a4539
117,166,3.8,1,34.4,Beras Ketan Hitam tape,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/5/19/6313260c-769d-4875-a3b2-ab4681eff412.jpg
118,360,8,2.3,74.5,Beras Ketan Hitam tumbuk,https://ceklist.id/wp-content/uploads/2021/08/Tepung-Ketan-Hitam-Terbaik.jpg
119,360,8,2.3,74.5,Beras ketan hitam tumbuk mentah,https://img.herstory.co.id/articles/archive_20211203/beras-hitam-20211203-092358.jpg
120,362,6.7,0.7,79.4,Beras Ketan Putih,https://img.freepik.com/free-photo/milled-rice-bowl-wooden-spoon-black-cement-floor_1150-20058.jpg?w=1060&t=st=1683884494~exp=1683885094~hmac=087d2b8d5b7ba0d5d39291bc84cfdab7dd5e308ae534fd542be811d73f1b8eed
121,163,3,0.4,35.7,Beras Ketan Putih kukus,https://img.freepik.com/free-photo/white-rice-is-placed-cup-wooden-floor_1150-26270.jpg?w=1060&t=st=1683884551~exp=1683885151~hmac=a53080997cbf768ead7314bfb2a4eb430be3da2f4caefbe22061ff25aa62d18d
122,172,3,0.5,37.5,Beras Ketan Putih tape,https://awsimages.detik.net.id/community/media/visual/2020/06/23/tape-ketan-putih-2.jpeg?w=1280
123,361,7.4,0.8,78.4,Beras Ketan Putih tumbuk,https://www.melatiputrajaya.com/wp-content/uploads/2021/02/Tepung-Beras-Ketan-sumber-Bola-Keluarga.jpg
124,361,7.4,0.8,78.4,Beras ketan putih tumbuk mentah,https://s1.bukalapak.com/img/13260261701/large/data.jpeg
125,376,7.5,3.8,78,Beras ladang mentah,https://cf.shopee.co.id/file/7ba3bd8d1b35213b450210a2d8a7bebe
126,339,7.7,4.4,73,Beras Menir,https://s1.bukalapak.com/img/11085064122/large/Beras_Menir_Kiloan.jpg
127,362,7.7,4.4,73,Beras menir mentah,https://cf.shopee.co.id/file/545e238984fb60430e0c5974baa50a67
128,359,7.5,0.9,77.6,Beras Merah tumbuk,https://i0.wp.com/gitacinta.com/wp-content/uploads/2022/06/tepung-beras-merah.jpg?resize=650%2C276&ssl=1
129,364,6.8,0.6,80.1,Beras Parboiled,https://nilaigizi.com/assets/images/produk/produk_1565756452.jpeg
130,353,6.8,0.6,80,Beras parboiled,https://media.istockphoto.com/id/682901376/id/foto/kantong-penuh-beras-parboiled.jpg?s=170667a&w=0&k=20&c=XIjpCICb6eaZjgGTPXA-gGGo2EQHtQmwnNHny3ce_m8=
131,335,7.4,1.9,76.2,Beras Pecah Kulit,https://media.savitri.co.id/content/uploads/2020/11/05111454/Beras-Pecah-Kulit-2-scaled.jpg
132,363,7.6,1.1,78.3,Beras Setengah Giling,https://media.istockphoto.com/id/1028702012/id/foto/beras-beras-setengah-giling-atau-beras-sekam.jpg?s=170667a&w=0&k=20&c=Jb-uK5CIE8eS7em_tTN1mI7vwFDbh_D3-ud50g1ODjc=
133,344,1.1,0.2,28.3,Beras Siger,https://www.goodnewsfromindonesia.id/uploads/post/large-beras-singkong-6b6d1b3932ec72a9012d9307b84fd243.jpg
134,354,7.8,0.4,79.9,Beras tumbuk mentah,https://nilaigizi.com/assets/images/produk/produk_1565756824.jpeg
135,352,7.3,0.9,76.2,Beras tumbuk merah mentah,https://www.faunadanflora.com/wp-content/uploads/2016/10/Kandungan-gizi-serta-manfaat-beras-merah-bagi-kesehatan.jpg
136,145,16.3,7,4.1,Betok wadi masakan,https://images.tokopedia.net/img/cache/700/VqbcmM/2021/11/29/26184a0a-29ed-48dc-9c82-ca5e70c66b39.jpg
137,360,4.7,0.1,82.1,Bihun,https://ik.imagekit.io/dcjlghyytp1/2020/03/curry-1609780_1920.jpg?tr=f-auto
"138,154,3,4.5,25.5,""Bihun Goreng "",https://img.kurio.network/ZxAfF4qJQbpTcsTwVZ5fxE-8_no=/1200x1200/filters:quality(80)/https://kurio-img.kurioapps.com/21/10/17/f29f0fe9-7b93-498a-a6fe-2e0abc82e509.jpe"
139,381,6.1,3.9,80.3,Bihun goreng instan,https://img-global.cpcdn.com/recipes/98b4c2fca1b1e699/1200x630cq70/photo.jpg
140,354,0.5,0.3,87.4,Bihun Jagung mentah,https://cdn.idntimes.com/content-images/post/20190917/ts3-afd6374f037588e5b1267149563c6ce7.jpg
141,348,4.7,0.1,82.1,Bihun mentah,https://asset.kompas.com/crops/dTUuoSNNMAy7MfUGn3xsMru6iQY=/0x0:1000x667/780x390/data/photo/2020/10/25/5f9537b7649a3.jpg
142,562,21.2,49.6,23.6,Biji Jambu Mete,https://static.republika.co.id/uploads/images/inpicture_slide/biji-jambu-mete-seorang-warga-menunjukkan-biji-jambu-mete-_121124152601-814.jpg
143,629,21.5,56.6,19.8,Biji Jambu Mete goreng,https://jovee.id/wp-content/uploads/2020/09/KACANGMEDE.jpg
144,262,2.3,5.4,51.1,Biji nangka/Biji salak,https://img-global.cpcdn.com/recipes/0df60642ab5496ab/680x482cq70/122-biji-salak-ber-nangka-foto-resep-utama.jpg
145,199,2.1,1.5,44.4,Bika ambon,https://upload.wikimedia.org/wikipedia/commons/4/43/Kue_bika_ambon.JPG
"146,225.7,3,0.3,52.9,""Bika Ambon "",https://kurio-img.kurioapps.com/21/08/09/550ddc82-8004-49fe-a427-197fead4eec3.jpe"
147,48,0.6,0,4.4,Bir (4% alkohol),https://img-cdn.medkomtek.com/9nrwopmWH6OZWfzLJFo3sIIrBns=/0x0/smart/filters:quality(75):strip_icc():format(webp)/article/gHEIB2nYYci1BklN8-Ocn/original/014067600_1615200086-kadar-alkohol-di-dalam-berbagai-jenis-minuman-keras.jpg
148,458,6.9,14.4,75.1,Biskuit,https://s4.bukalapak.com/bukalapak-kontenz-production/content_attachments/57314/original/main_merek_biskuit_enak_shutterstock.jpg
149,42,1.6,0.1,9.6,Bit,https://static.honestdocs.id/system/blog_articles/main_hero_images/000/002/304/original/14_Manfaat_Buah_Bit_Bagi_Kesehatan_Tubuh.jpg
150,51,0.3,0.1,12.1,Biwah segar,https://cdn.idntimes.com/content-images/community/2019/07/big-1358231-960-720-8ba3de334ccaf29bc9502faa35dd8283_600x400.jpg
151,43,2.6,0,11.6,Bonggol Pisang,https://lzd-img-global.slatic.net/g/ff/kf/S1463a138f13a4911a9d6d535825ddb61O.jpg_720x720q80.jpg
152,245,3.4,0,66.2,Bonggol Pisang kering,https://www.pertanianku.com/wp-content/uploads/2021/04/Keripik-Bonggol-Pisang-Berhasil-Tembus-Pasar-Ekspor.jpg
153,119,4.4,3.5,18.3,Bongkrek (tempe bungkil),https://cf.shopee.co.id/file/a7769b06122c01b56b932750fdbbd06d
154,23,1,0.8,7.2,Boros Kunci,https://assets-a1.kompasiana.com/items/album/2021/01/23/img-20201215-wa0054fix-600b9bfdd541df5c9d4c6c52.jpg
155,22,1,0.3,4.7,Boros Laja (lengkuas),https://nilaigizi.com/assets/images/produk/produk_1537342919.png
156,186,11.7,9.7,13,Botok lamtoro,https://sweetrip.id/wp-content/uploads/2022/05/botok-lamtoro.jpg
